Fold,AUC,Average_Precision,Precision,Recall,F1_Score,Accuracy,Loss,Training_Accuracy,Validation_Accuracy,Training_Loss,Validation_Loss,Matthews_Corrcoef,PR_AUC,Contamination_Level,Model_Name
1,0.5434315753415633,0.04025972828852841,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.03809487038110605,0.005,IsolationForest
1,0.5435896760253488,0.04235126639133702,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.03962474999691429,0.005,LOF
1,0.5302960435303883,0.043212384144909036,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.038872155509913985,0.005,OneClassSVM
1,0.43851859659293024,0.02738685739390501,0.0,0.0,0.0,0.951188986232791,1.0,1.0,0.951188986232791,0.0,1.0,-0.024180198307499786,0.026041107860629804,0.005,RandomForest
1,0.5,0.030663329161451813,0.030663329161451813,1.0,0.05950212507589557,0.030663329161451813,0.9404978749241044,0.030682529743268627,0.030663329161451813,0.9404617253948967,0.9404978749241044,0.0,0.5153316645807259,0.005,DBSCAN
1,0.5,0.030663329161451813,0.0,0.0,0.0,0.9693366708385481,1.0,0.9693174702567313,0.9693366708385481,1.0,1.0,0.0,0.5153316645807259,0.005,Ensemble
2,0.5244423350735644,0.03649537097461272,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.034549370938535356,0.005,IsolationForest
2,0.5188656858092074,0.038023606017449696,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.035308362571067675,0.005,LOF
2,0.5014633760480937,0.035323071722986314,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.03304271222749191,0.005,OneClassSVM
2,0.47907767758266095,0.04626043143666001,0.045454545454545456,0.04081632653061224,0.043010752688172046,0.9442705072010019,0.956989247311828,1.0,0.9442705072010019,0.0,0.956989247311828,0.01441789203931355,0.040136295263508495,0.005,RandomForest
2,0.5,0.030682529743268627,0.030682529743268627,1.0,0.05953827460510328,0.030682529743268627,0.9404617253948967,0.030672926447574335,0.030682529743268627,0.940479805648345,0.9404617253948967,0.0,0.5153412648716343,0.005,DBSCAN
2,0.5068422717924379,0.03128546916005544,0.045454545454545456,0.04081632653061224,0.043010752688172046,0.9442705072010019,0.956989247311828,1.0,0.9442705072010019,0.0,0.956989247311828,0.01441789203931355,0.05785052678781992,0.005,Ensemble
3,0.5159257501450193,0.03399322032840317,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.03235405119895107,0.005,IsolationForest
3,0.5177055318251332,0.03397698689894653,0.0,0.0,0.0,0.9693174702567313,1.0,0.9693270735524256,0.9693174702567313,1.0,1.0,0.0,0.032602924716939374,0.005,LOF
